Country,Place Name,Category,Neighbourhood / City,Description / Notes,Tags,Day,Lat,Lng
Korea,Jongno,Neighbourhood,Seoul,#1 area for first-timers. Real Korea vibe. Historic transit hub. Quiet nights.,"stay,historic,transit",Day 1-2,37.5700,126.9782
Korea,Myeongdong,Neighbourhood,Seoul,Tourist central. Street food. Airport bus stop. Safe at night. L7 Hotel rooftop.,"stay,street food,tourist",Day 1-2,37.5631,126.9858
Korea,Hongdae,Neighbourhood,Seoul,"Young, energetic. Nightlife, restaurants, stores. ÅLAND & MUSINSA nearby. ★ Top pick.","stay,nightlife,★ top pick",Day 3,37.5563,126.9236
Korea,Gangnam,Neighbourhood,Seoul,"Upscale. Shinsegae dept store, skincare clinics, fashion brands.","stay,upscale,shopping",Day 7-8,37.4979,127.0276
Korea,Itaewon,Neighbourhood,Seoul,Expat-friendly. International dining. Boutique shopping. Close to Hannam.,"stay,expat,dining",Flexible,37.5347,126.9947
Korea,Seongsu,Neighbourhood,Seoul,"THE coolest neighbourhood. Concept stores, creative energy. ★ Top pick.","stay,trendy,★ top pick",Day 5,37.5448,127.0557
Korea,Hannam,Neighbourhood,Seoul,"Upscale boutiques. Citybreeze, Mardi Mercredi. ★ Top pick.","stay,upscale,boutique",Day 5,37.5341,127.0003
Korea,Yeonam,Neighbourhood,Seoul,"Quiet alternative to Hongdae. Local cafés, cheaper food.","stay,quiet,cafes",Day 3,37.5614,126.9279
Korea,Euljiro,Neighbourhood,Seoul,"Walkable from Myeongdong. Trendy, great restaurants.","stay,trendy",Day 1-2,37.5663,126.9905
Korea,Sinchon,Neighbourhood,Seoul,Near Hongdae. Cheaper food and great bars.,"stay,budget,bars",Day 4 (night),37.5550,126.9374
Korea,Apgujeong,Neighbourhood,Seoul,Luxury and streetwear hub. Worksout store.,"stay,luxury,streetwear",Day 7-8,37.5276,127.0286
Korea,Incheon Airport,Transport,Incheon,Main airport. Airport Limousine bus to Seoul. Smart Pass to skip queues.,"airport,entry",Flexible,37.4602,126.4407
Korea,Seoul Station,Transport,Seoul,AREX express from Incheon ~45 min nonstop.,"transit,train,arex",Day 1,37.5547,126.9706
Korea,National Museum of Korea,Culture,Yongsan,Ichon Station Exit 2. Free entry (fee from 2027). Best souvenir shop in Seoul.,"museum,free,history",Flexible,37.5245,126.9800
Korea,Hanok Village / Bukchon,Culture,Jongno,Historic winding streets. Granhand perfumery here. Beautiful walks.,"historic,walking,souvenir",Flexible,37.5787,126.9846
Korea,Gwangjang Market,Culture,Jongno,Iconic traditional market. Street food and textiles.,"market,food,culture",Day 9,37.5697,126.9990
Korea,Weave Suite Seoyu Parkside,Accommodation,Seoyu,"Premium serviced apartment. Han River terrace view. Co-working, yoga, housekeeping.","longstay,serviced,han river",Day 1,37.5382,126.9024
